PERIODO,DEPARTAMENTO,GLP,DIESEL B5 S-50 UV,GASOHOL REGULAR,GASOHOL PREMIUM
1/4/2026,AMAZONAS,9.91,23.75,20.16,22.03
1/4/2026,ANCASH,8.51,23.32,20.02,21.16
1/4/2026,APURIMAC,9.96,24.05,20.72,21.65
1/4/2026,AREQUIPA,7.99,24.53,20.94,22.16
1/4/2026,AYACUCHO,8.51,23.53,20.19,21.08
1/4/2026,CAJAMARCA,9.79,23.83,20.58,22.37
1/4/2026,CUSCO,11.5,24.48,20.86,21.99
1/4/2026,HUANCAVELICA,8.54,23.78,20.2,21.67
1/4/2026,HUANUCO,8.34,23.63,20.35,21.6
1/4/2026,ICA,7.27,23.32,19.75,21.03
1/4/2026,JUNIN,7.41,23.2,19.71,20.81
1/4/2026,LA LIBERTAD,8.13,23.92,20.76,22.14
1/4/2026,LAMBAYEQUE,7.6,23.1,19.93,22.11
1/4/2026,LIMA,7.72,23.19,19.82,21.2
1/4/2026,LORETO,10,23,21.24,24
1/4/2026,MADRE DE DIOS,12.5,25.96,,
1/4/2026,MOQUEGUA,8.46,24.66,21.13,22.56
1/4/2026,PASCO,8.77,23.77,20.34,21.73
1/4/2026,PIURA,9.02,23.95,20.27,22.16
1/4/2026,PUNO,11.61,24.54,21.72,22.71
1/4/2026,SAN MARTIN,8.76,23.79,20.9,22.62
1/4/2026,TACNA,8.33,24.56,21.65,22.66
1/4/2026,TUMBES,9.75,24.9,20.08,22.19
1/4/2026,UCAYALI,11.94,26.06,,23.77
1/3/2026,AMAZONAS,9.52,19.79,17.17,18.76
1/3/2026,ANCASH,9.5,20.29,18.33,19.92
1/3/2026,APURIMAC,10.13,20.39,18.41,19.45
1/3/2026,AREQUIPA,8.68,20.41,18.69,20.05
1/3/2026,AYACUCHO,8.25,19.82,17.95,19.05
1/3/2026,CAJAMARCA,9.45,19.94,17.48,19.23
1/3/2026,CUSCO,11.85,20.39,18.68,20.22
1/3/2026,HUANCAVELICA,9.07,20.38,17.98,19.31
1/3/2026,HUANUCO,9.19,20.16,18.06,19.41
1/3/2026,ICA,8.15,19.64,17.73,19.28
1/3/2026,JUNIN,8.03,19.6,17.49,18.83
1/3/2026,LA LIBERTAD,8.98,20.58,18.25,20.08
1/3/2026,LAMBAYEQUE,9.2,19.69,17.25,19.83
1/3/2026,LIMA,9.97,20.05,18.74,20.54
1/3/2026,LORETO,10.07,24,18.3,22.44
1/3/2026,MADRE DE DIOS,12.1,21.31,,
1/3/2026,MOQUEGUA,8.65,20.23,18.2,19.64
1/3/2026,PASCO,9.04,20.17,18.08,19.56
1/3/2026,PIURA,8.3,19.97,17.35,19.26
1/3/2026,PUNO,10.76,20.45,19.26,20.12
1/3/2026,SAN MARTIN,9.46,20.35,18.79,20.92
1/3/2026,TACNA,8.17,20.76,19.33,20.43
1/3/2026,TUMBES,8.53,21.06,17.36,19.3
1/3/2026,UCAYALI,11.68,22.88,,21.72
1/2/2026,AMAZONAS,8.65,14.56,,
1/2/2026,ANCASH,6.11,14.34,13.98,15.42
1/2/2026,APURIMAC,8.92,15.2,14.52,15.65
1/2/2026,AREQUIPA,6.1,14.45,13.79,14.99
1/2/2026,AYACUCHO,7.73,14.64,14.1,15.29
1/2/2026,CAJAMARCA,7.72,14.75,14.38,15.77
1/2/2026,CUSCO,11.87,14.88,13.87,15.29
1/2/2026,HUANCAVELICA,7.01,15.22,14.57,15.64
1/2/2026,HUANUCO,6.13,14.49,14.25,15.45
1/2/2026,ICA,5.51,14.46,13.88,15.19
1/2/2026,JUNIN,5.77,14.6,13.74,15.2
1/2/2026,LA LIBERTAD,5.57,15.25,14.82,16.22
1/2/2026,LAMBAYEQUE,5.78,14.23,13.98,15.72
1/2/2026,LIMA,6.03,14.95,14.31,16.05
1/2/2026,LORETO,8.8,,,19
1/2/2026,MADRE DE DIOS,10.5,14.59,,
1/2/2026,MOQUEGUA,7.9,14.45,14.19,15.4
1/2/2026,PASCO,7.79,15.08,14.4,15.91
1/2/2026,PIURA,6.88,15.27,14.52,16.28
1/2/2026,PUNO,10.06,14.28,14.2,15.17
1/2/2026,SAN MARTIN,7.22,14.65,,
1/2/2026,TACNA,6.13,14.42,14.52,15.14
1/2/2026,TUMBES,6.91,16.72,14.69,16.51
1/2/2026,UCAYALI,10.89,17.67,,
1/1/2026,AMAZONAS,8.79,14.63,,
1/1/2026,ANCASH,6.19,14.34,13.59,14.56
1/1/2026,APURIMAC,8.87,15.27,14.56,15.59
1/1/2026,AREQUIPA,6.3,14.55,13.82,14.9
1/1/2026,AYACUCHO,7.74,14.76,13.95,14.86
1/1/2026,CAJAMARCA,7.67,14.8,14.39,15.57
1/1/2026,CUSCO,12.43,14.94,13.78,14.9
1/1/2026,HUANCAVELICA,7,15.37,14.59,15.61
1/1/2026,HUANUCO,6.16,14.49,14.26,15.1
1/1/2026,ICA,5.56,14.44,13.55,14.66
1/1/2026,JUNIN,5.78,14.66,13.64,14.9
1/1/2026,LA LIBERTAD,5.56,15.21,14.75,15.81
1/1/2026,LAMBAYEQUE,5.92,14.24,13.89,15.19
1/1/2026,LIMA,6.03,14.81,13.73,14.95
1/1/2026,LORETO,8.8,,,19
1/1/2026,MADRE DE DIOS,10.5,14.59,,
1/1/2026,MOQUEGUA,7.93,14.42,14.25,15.28
1/1/2026,PASCO,7.8,15.12,14.37,15.77
1/1/2026,PIURA,6.98,15.29,14.47,15.96
1/1/2026,PUNO,9.5,14.33,14.29,15.29
1/1/2026,SAN MARTIN,7.03,14.72,,
1/1/2026,TACNA,6.06,14.5,14.46,15.06
1/1/2026,TUMBES,6.94,16.79,14.76,16.45
1/1/2026,UCAYALI,10.79,17.5,,
1/12/2025,AMAZONAS,8.96,14.79,,
1/12/2025,ANCASH,6.14,14.67,13.78,14.62
1/12/2025,APURIMAC,8.9,15.42,14.69,15.33
1/12/2025,AREQUIPA,6.22,14.66,13.67,14.83
1/12/2025,AYACUCHO,7.53,15.02,14.13,14.57
1/12/2025,CAJAMARCA,7.53,14.92,14.56,15.59
1/12/2025,CUSCO,12.04,15.02,13.74,14.33
1/12/2025,HUANCAVELICA,7.21,15.65,14.83,15.87
1/12/2025,HUANUCO,6.25,14.58,14.24,14.74
1/12/2025,ICA,5.61,14.64,13.56,14.65
1/12/2025,JUNIN,5.8,14.69,13.69,14.6
1/12/2025,LA LIBERTAD,5.59,15.51,14.84,15.66
1/12/2025,LAMBAYEQUE,5.48,14.29,13.9,14.11
1/12/2025,LIMA,6.12,15.08,13.79,14.98
1/12/2025,LORETO,8.8,,,19
1/12/2025,MADRE DE DIOS,10.5,14.6,,
1/12/2025,MOQUEGUA,7.93,14.67,14.38,15.37
1/12/2025,PASCO,7.77,15.2,14.36,15.77
1/12/2025,PIURA,6.82,15.36,14.6,15.7
1/12/2025,PUNO,9.29,14.46,14.25,15
1/12/2025,SAN MARTIN,7.21,14.74,,
1/12/2025,TACNA,6.13,14.63,14.53,15.25
1/12/2025,TUMBES,6.94,16.88,14.86,16.49
1/12/2025,UCAYALI,8.36,6.75,,
1/11/2025,AMAZONAS,8.95,15.01,,
1/11/2025,ANCASH,6.19,14.69,13.92,14.73
1/11/2025,APURIMAC,8.89,15.3,14.69,15.69
1/11/2025,AREQUIPA,6.31,14.64,13.92,15.03
1/11/2025,AYACUCHO,7.74,15.21,14.3,15.13
1/11/2025,CAJAMARCA,7.84,14.89,14.55,15.73
1/11/2025,CUSCO,11.9,15.03,13.8,14.85
1/11/2025,HUANCAVELICA,7.19,15.61,15,16.07
1/11/2025,HUANUCO,6.42,14.61,14.5,15.46
1/11/2025,ICA,5.72,14.58,13.67,14.76
1/11/2025,JUNIN,5.81,14.73,13.75,14.97
1/11/2025,LA LIBERTAD,5.66,15.5,14.88,15.98
1/11/2025,LAMBAYEQUE,5.3,14.33,13.84,15.16
1/11/2025,LIMA,6.13,15.03,13.88,15.09
1/11/2025,LORETO,8.8,,,19
1/11/2025,MADRE DE DIOS,10.5,14.54,,
1/11/2025,MOQUEGUA,8.01,14.74,14.48,15.47
1/11/2025,PASCO,7.88,15.22,14.49,15.98
1/11/2025,PIURA,6.95,15.29,14.53,15.97
1/11/2025,PUNO,9.48,14.48,14.33,15.27
1/11/2025,SAN MARTIN,7.19,14.83,,
1/11/2025,TACNA,6.52,14.86,14.83,15.66
1/11/2025,TUMBES,7.04,17.03,15.01,16.7
1/11/2025,UCAYALI,11.01,18,,
1/10/2025,AMAZONAS,9.11,14.89,,
1/10/2025,ANCASH,6.34,14.7,14.1,15.01
1/10/2025,APURIMAC,9.15,15.41,14.84,15.82
1/10/2025,AREQUIPA,6.43,14.7,14.17,15.31
1/10/2025,AYACUCHO,7.77,15.34,14.57,15.35
1/10/2025,CAJAMARCA,8.07,14.98,14.82,16.08
1/10/2025,CUSCO,12.09,15.18,14.12,15.17
1/10/2025,HUANCAVELICA,7.3,15.66,15.09,16.21
1/10/2025,HUANUCO,6.68,14.65,14.54,15.59
1/10/2025,ICA,5.89,14.65,13.84,14.95
1/10/2025,JUNIN,5.98,14.86,14.01,15.26
1/10/2025,LA LIBERTAD,5.82,15.57,15.1,16.29
1/10/2025,LAMBAYEQUE,5.44,14.42,14.31,15.69
1/10/2025,LIMA,6.24,15.1,14.06,15.29
1/10/2025,LORETO,8.8,,,19
1/10/2025,MADRE DE DIOS,10.5,14.81,,
1/10/2025,MOQUEGUA,8.34,14.85,14.68,15.67
1/10/2025,PASCO,8.01,15.39,14.73,16.25
1/10/2025,PIURA,7.16,15.39,14.81,16.37
1/10/2025,PUNO,9.8,14.62,14.48,15.46
1/10/2025,SAN MARTIN,7.44,14.89,,
1/10/2025,TACNA,6.74,15,14.95,15.97
1/10/2025,TUMBES,7.86,17.07,15.09,16.86
1/10/2025,UCAYALI,11.03,18,,
1/9/2025,AMAZONAS,9.09,14.98,,
1/9/2025,ANCASH,6.57,14.79,14.24,15.2
1/9/2025,APURIMAC,9.24,15.49,15,15.97
1/9/2025,AREQUIPA,6.78,14.87,14.4,15.5
1/9/2025,AYACUCHO,7.96,15.4,14.65,15.48
1/9/2025,CAJAMARCA,8.18,15.09,15,16.27
1/9/2025,CUSCO,11.93,15.27,14.34,15.36
1/9/2025,HUANCAVELICA,7.15,15.7,15.15,16.28
1/9/2025,HUANUCO,7.02,14.81,14.69,15.84
1/9/2025,ICA,6.01,14.68,13.92,15.04
1/9/2025,JUNIN,6.21,14.84,14.15,15.34
1/9/2025,LA LIBERTAD,5.84,15.54,15.28,16.35
1/9/2025,LAMBAYEQUE,5.54,14.53,14.73,16.21
1/9/2025,LIMA,6.32,14.92,14.07,15.22
1/9/2025,LORETO,8.8,,,19
1/9/2025,MADRE DE D. DIOS,10.5,14.65,,
1/9/2025,MOQUEGUA,8.78,14.97,14.8,15.82
1/9/2025,PASCO,7.98,15.37,14.73,16.23
1/9/2025,PIURA,7.32,15.49,15.02,16.67
1/9/2025,PUNO,9.85,14.66,14.53,15.52
1/9/2025,SAN MARTIN,7.71,14.96,,
1/9/2025,TACNA,6.73,15.03,14.98,15.99
1/9/2025,TUMBES,9.09,17.27,15.27,17.05
1/9/2025,UCAYALI,11.27,18,,
1/8/2025,AMAZONAS,9.41,15.16,,
1/8/2025,ANCASH,6.53,14.88,14.33,15.33
1/8/2025,APURIMAC,9.25,15.52,15.11,16.03
1/8/2025,AREQUIPA,6.83,14.98,14.44,15.64
1/8/2025,AYACUCHO,8.34,15.46,14.81,15.71
1/8/2025,CAJAMARCA,8.22,15.15,15.05,16.38
1/8/2025,CUSCO,12.04,15.4,14.51,15.65
1/8/2025,HUANCAVELICA,7.33,15.65,15.15,16.38
1/8/2025,HUANUCO,7.52,14.83,14.84,15.98
1/8/2025,ICA,6.19,14.76,14.07,15.24
1/8/2025,JUNIN,6.35,14.9,14.3,15.47
1/8/2025,LA LIBERTAD,6.1,15.56,15.34,16.44
1/8/2025,LAMBAYEQUE,5.83,14.56,14.83,16.38
1/8/2025,LIMA,6.53,14.99,14.24,15.41
1/8/2025,LORETO,8.8,,,19
1/8/2025,MADRE DE DIOS,12,14.13,,
1/8/2025,MOQUEGUA,9.15,15.02,14.84,15.81
1/8/2025,PASCO,8.05,15.37,14.74,16.24
1/8/2025,PIURA,7.4,15.51,15.15,16.88
1/8/2025,PUNO,10.16,14.81,14.68,15.78
1/8/2025,SAN MARTIN,7.87,15,,
1/8/2025,TACNA,7.01,15.13,15.02,16.06
1/8/2025,TUMBES,9.08,17.41,15.53,17.22
1/8/2025,UCAYALI,11.17,18,,
1/7/2025,AMAZONAS,9.37,15.04,,
1/7/2025,ANCASH,6.94,14.81,14.51,15.52
1/7/2025,APURIMAC,9.59,15.58,15.34,16.29
1/7/2025,AREQUIPA,7.44,15.02,14.55,15.86
1/7/2025,AYACUCHO,8.5,15.45,15.01,16.01
1/7/2025,CAJAMARCA,8.34,15.16,15.19,16.52
1/7/2025,CUSCO,11.97,15.33,14.71,15.86
1/7/2025,HUANCAVELICA,7.76,15.72,15.38,16.61
1/7/2025,HUANUCO,7.8,14.87,14.96,16.05
1/7/2025,ICA,6.57,14.72,14.25,15.47
1/7/2025,JUNIN,6.68,14.87,14.43,15.57
1/7/2025,LA LIBERTAD,6.52,15.57,15.51,16.69
1/7/2025,LAMBAYEQUE,6.46,14.55,15,16.58
1/7/2025,LIMA,6.86,15.17,14.55,15.84
1/7/2025,LORETO,8.8,,,19
1/7/2025,MADRE DE DIOS,12,13.28,,
1/7/2025,MOQUEGUA,9.14,15.13,15.02,16.02
1/7/2025,PASCO,8.12,15.39,14.86,16.36
1/7/2025,PIURA,7.82,15.57,15.36,17.18
1/7/2025,PUNO,10.48,14.84,14.8,15.97
1/7/2025,SAN MARTIN,8.04,14.9,,
1/7/2025,TACNA,7.42,15.16,15.24,16.27
1/7/2025,TUMBES,9.1,17.54,15.76,17.36
1/7/2025,UCAYALI,11.2,18,,
1/6/2025,AMAZONAS,9.26,14.79,,
1/6/2025,ANCASH,7.18,14.4,14.32,15.53
1/6/2025,APURIMAC,9.7,15.2,15.24,16.28
1/6/2025,AREQUIPA,7.21,14.53,14.49,15.89
1/6/2025,AYACUCHO,8.56,15.15,14.84,15.99
1/6/2025,CAJAMARCA,8.45,14.89,15.25,16.67
1/6/2025,CUSCO,12.08,14.95,14.56,15.83
1/6/2025,HUANCAVELICA,7.68,15.44,15.18,16.38
1/6/2025,HUANUCO,7.94,14.64,14.83,16
1/6/2025,ICA,6.89,14.37,14.27,15.54
1/6/2025,JUNIN,6.98,14.63,14.36,15.58
1/6/2025,LA LIBERTAD,6.94,15.41,15.49,16.93
1/6/2025,LAMBAYEQUE,6.99,14.26,15.04,16.78
1/6/2025,LIMA,7.27,15.07,14.7,16.13
1/6/2025,LORETO,8.8,,,19
1/6/2025,MADRE DE DIOS,12.2,13.05,,
1/6/2025,MOQUEGUA,9.09,14.92,14.98,16.03
1/6/2025,PASCO,8.24,15.3,14.84,16.27
1/6/2025,PIURA,8.04,15.67,15.51,17.37
1/6/2025,PUNO,10.5,14.31,14.62,15.86
1/6/2025,SAN MARTIN,8.18,14.68,,
1/6/2025,TACNA,7.45,14.56,15.32,16.39
1/6/2025,TUMBES,9.09,17.44,15.76,17.53
1/6/2025,UCAYALI,11.28,18,,
1/5/2025,AMAZONAS,9.26,14.83,,
1/5/2025,ANCASH,7.52,14.38,14.15,15.4
1/5/2025,APURIMAC,9.67,15.26,15.15,16.23
1/5/2025,AREQUIPA,7.52,14.49,14.4,15.83
1/5/2025,AYACUCHO,8.6,15.13,14.51,15.8
1/5/2025,CAJAMARCA,8.53,14.89,14.99,16.45
1/5/2025,CUSCO,11.78,15.03,14.39,15.76
1/5/2025,HUANCAVELICA,7.83,15.41,15.03,16.2
1/5/2025,HUANUCO,7.99,14.6,14.83,15.98
1/5/2025,ICA,7.14,14.4,14.27,15.59
1/5/2025,JUNIN,7.35,14.8,14.45,15.77
1/5/2025,LA LIBERTAD,7.36,15.44,15.22,16.8
1/5/2025,LAMBAYEQUE,7.35,14.23,14.69,16.53
1/5/2025,LIMA,7.69,15.25,14.65,16.14
1/5/2025,LORETO,8.8,,,19
1/5/2025,MADRE DE DIOS,13,13.18,,
1/5/2025,MOQUEGUA,9.12,14.95,14.99,16.06
1/5/2025,PASCO,8.2,15.3,14.75,16.22
1/5/2025,PIURA,8.08,15.76,15.18,17.06
1/5/2025,PUNO,10.51,14.41,14.79,15.97
1/5/2025,SAN MARTIN,8.25,14.78,,
1/5/2025,TACNA,7.55,14.53,15.33,16.4
1/5/2025,TUMBES,9.23,17.57,15.7,17.48
1/5/2025,UCAYALI,11.15,18,,
