PRODUCTO,DEPARTAMENTO,P_PROMEDIO,P_MIN,P_MAX,P_SD,N_GRIFOS
DIESEL B5 UV,LORETO,20.703765432098766,9.8,25.8,2.1489697128214083,162
DIESEL B5 UV,UCAYALI,19.78224852071006,12,23.5,1.2875048441012205,169
GASOHOL PREMIUM,AMAZONAS,22.89325,21.5,25,1.0143695465278308,40
GASOHOL PREMIUM,ANCASH,21.73137724550898,18.99,32,1.346274160735716,167
GASOHOL PREMIUM,APURIMAC,21.911594202898552,20.8,23.5,0.7388298044650738,69
GASOHOL PREMIUM,AREQUIPA,22.129428571428573,20.59,25.99,1.1950334926867587,280
GASOHOL PREMIUM,AYACUCHO,21.633725490196078,20,26.3,1.4383660432564869,102
GASOHOL PREMIUM,CAJAMARCA,22.789679487179487,20.94,25.5,1.0396403968071286,156
GASOHOL PREMIUM,CALLAO,21.86671232876712,19.19,25.99,1.746747020093923,73
GASOHOL PREMIUM,CUSCO,22.142828685258962,16.9,25.5,1.1379607930565379,251
GASOHOL PREMIUM,HUANCAVELICA,22.219444444444445,20.9,24.5,0.891444876733255,36
GASOHOL PREMIUM,HUANUCO,22.100543478260867,17,26,1.411419956920039,92
GASOHOL PREMIUM,ICA,21.325168539325844,19.85,25.14,0.9215071324535835,178
GASOHOL PREMIUM,JUNIN,21.216774193548385,19.49,23.47,0.8703929480571904,248
GASOHOL PREMIUM,LA LIBERTAD,22.439563318777292,15.8,26.99,1.1632085773575003,229
GASOHOL PREMIUM,LAMBAYEQUE,22.296242774566473,20.59,24.99,0.7441432478199193,173
GASOHOL PREMIUM,LIMA,21.750376522702105,18.96,26.99,1.7373097917812288,903
GASOHOL PREMIUM,LORETO,24,24,24,0,2
GASOHOL PREMIUM,MOQUEGUA,22.675625,21.8,25.29,0.7295775954221286,32
GASOHOL PREMIUM,PASCO,22.008541666666666,20.3,24.09,1.2330415422991476,48
GASOHOL PREMIUM,PIURA,22.94131868131868,20.99,25.89,0.9579065673664506,182
GASOHOL PREMIUM,PUNO,22.26592156862745,15.9,25.5,1.1200385933159691,255
GASOHOL PREMIUM,SAN MARTIN,22.981228070175437,20.9,25.5,0.81893456518524,57
GASOHOL PREMIUM,TACNA,22.33,21.5,24.99,0.6262727391956711,58
GASOHOL PREMIUM,TUMBES,23.57125,22.5,25.99,0.8952308826963761,16
GASOHOL PREMIUM,UCAYALI,24.28363636363636,22.4,25.69,1.0069687915651349,22
GASOHOL REGULAR,AMAZONAS,20.97530612244898,19.39,23.9,1.0143924742606947,49
GASOHOL REGULAR,ANCASH,20.539562841530053,18.19,24.99,1.0889176121654882,183
GASOHOL REGULAR,APURIMAC,20.916129032258063,19.55,22.9,0.9118698327422384,93
GASOHOL REGULAR,AREQUIPA,21.068761904761903,19.65,25.49,1.2077148727372515,315
GASOHOL REGULAR,AYACUCHO,20.812344827586205,19,23.9,1.30723415280821,145
GASOHOL REGULAR,CAJAMARCA,21.056269430051813,19,23.89,1.0062914432191241,193
GASOHOL REGULAR,CALLAO,20.33445945945946,18.82,24.89,1.4040666396118584,74
GASOHOL REGULAR,CUSCO,21.026541786743515,16,24.5,1.1197391445607043,347
GASOHOL REGULAR,HUANCAVELICA,20.8002,19.9,23.5,0.6560067508363443,50
GASOHOL REGULAR,HUANUCO,20.83801886792453,16,25,1.3747120355161628,106
GASOHOL REGULAR,ICA,20.06956043956044,18.95,24,0.747418262997894,182
GASOHOL REGULAR,JUNIN,20.099783393501806,18.48,23,0.8305336746909717,277
GASOHOL REGULAR,LA LIBERTAD,21.113280632411065,14.8,25,1.208718291839819,253
GASOHOL REGULAR,LAMBAYEQUE,20.355696202531647,18.75,31.99,1.0795754229125005,237
GASOHOL REGULAR,LIMA,20.32340811965812,17.84,25.89,1.4297977225390486,936
GASOHOL REGULAR,LORETO,21.4,20,22,0.8944271909999159,5
GASOHOL REGULAR,MOQUEGUA,21.323999999999998,20.2,23.5,0.5288086806111028,30
GASOHOL REGULAR,PASCO,20.71933333333333,19,22.9,1.156440867587266,60
GASOHOL REGULAR,PIURA,20.991140350877192,18.5,23.89,0.8884196321389575,228
GASOHOL REGULAR,PUNO,21.399407008086254,13.6,24.1,1.1688271663113887,371
GASOHOL REGULAR,SAN MARTIN,21.555409836065575,19.9,24.9,1.0077194943211987,61
GASOHOL REGULAR,TACNA,21.51189655172414,20.8,22.99,0.42591678989883136,58
GASOHOL REGULAR,TUMBES,21.227619047619047,20.1,23.69,0.9504046757140076,21
GASOHOL REGULAR,UCAYALI,22,22,22,0,1
GLP - G,AMAZONAS,9.927272727272728,9.35,10.68,0.5363970713769961,11
GLP - G,ANCASH,7.951470588235294,6.89,13,1.4909821111731874,68
GLP - G,APURIMAC,10,9.85,10.15,0.21213203435596475,2
GLP - G,AREQUIPA,7.786753246753247,6.9,10.6,0.7586612890279713,77
GLP - G,AYACUCHO,8.647142857142857,8.48,8.8,0.1312395120526188,7
GLP - G,CAJAMARCA,9.804594594594596,8.38,12.99,0.7315151498187952,37
GLP - G,CALLAO,7.417142857142857,6.89,9.49,0.5678598492254663,42
GLP - G,CUSCO,12.338333333333333,10.99,14.39,1.451749519258287,6
GLP - G,HUANCAVELICA,8.437,6.7,9.9,1.3524714003959153,10
GLP - G,HUANUCO,7.95718309859155,7.29,10.5,0.5031505968781443,71
GLP - G,ICA,7.087878787878788,6.13,9.5,0.5697153840149065,132
GLP - G,JUNIN,7.184702380952381,6.75,14,0.6428370181084663,168
GLP - G,LA LIBERTAD,7.685845070422535,7.34,10.35,0.4057900847086673,142
GLP - G,LAMBAYEQUE,7.517280701754386,6.97,9.19,0.36979852224949505,114
GLP - G,LIMA,7.528805394990366,6.25,9.99,0.7076202155052435,519
GLP - G,LORETO,10,10,10,0,2
GLP - G,MADRE DE DIOS,12.5,12.5,12.5,0,1
GLP - G,MOQUEGUA,8.4725,8.29,8.7,0.16993696310270873,8
GLP - G,PASCO,8.81952380952381,7.75,11,0.9124389085877267,21
GLP - G,PIURA,8.965975609756098,8.39,10.88,0.42842479137756206,82
GLP - G,PUNO,9.99,9.99,9.99,0,1
GLP - G,SAN MARTIN,8.343170731707318,7.29,9,0.6625874999741175,41
GLP - G,TACNA,7.965172413793104,7.59,8.1,0.09241292000175758,29
GLP - G,TUMBES,9.829090909090908,9.5,10.5,0.2604785805188038,11
GLP - G,UCAYALI,11.858888888888888,10.09,13.5,1.0937029354953343,9
